ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,player_id,survey_id,Q0,Q33,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q80,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,LocationLatitude,LocationLongitude,LocationAccuracy
R_vjnTbb4Xn6UtUHf,null,207.151.52.33,2/7/2022 13:59,2/7/2022 15:55,,,,,1,0,83431,55035,11,1,3,4,2,7,1,4,6,7,6,4,1,6,7,7,2,1,7,4,2,7,5,5,7,7,7,7,7,7,1,2,1,Condition I with suggestions. At least save some time.,34.03219604,-118.2835999,-1
R_2dzIujnc3VdrR35,null,207.151.52.33,2/7/2022 17:37,2/7/2022 17:52,,,,,1,0,52986,90526,12,1,6,4,2,2,6,2,3,3,3,6,6,5,2,3,2,1,6,4,2,2,6,2,2,3,2,6,6,4,2,2,2,With suggestion (condition I) as it may give some correct suggestion. Not a big difference to condition II.,34.03219604,-118.2835999,-1
R_x31TBCUIHCW2zuh,null,207.151.52.33,2/7/2022 18:57,2/7/2022 20:46,,,,,1,0,11561,71425,13,1,7,7,7,3,7,2,6,7,4,1,4,4,6,6,1,1,5,6,7,3,7,2,5,7,4,4,4,4,2,4,1,With suggestions (condition I) as it already goes to the part which is to be picked up next.,34.03219604,-118.2835999,-1
R_2v7XqWAhAz49HDm,null,207.151.52.33,2/6/2022 9:48,2/6/2022 9:48,,,,,0,0,77040,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_2a9yDmpm7cUhnUM,null,207.151.52.33,2/6/2022 18:42,2/6/2022 19:10,,,,,0,0,97490,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_cwq9OlS6JDHmPCh,null,207.151.52.33,2/7/2022 15:57,2/7/2022 17:37,,,,,0,0,51244,,12,1,5,5,2,2,6,2,3,3,2,6,3,5,2,3,2,1,7,6,2,2,6,2,3,3,2,6,4,2,2,2,2,,,,-1
R_1j891loLnJwjCUs,null,207.151.52.187,5/10/2022 14:03,5/10/2022 14:29,,,,,1,0,56907,83582,4,1,4,4,4,5,6,7,7,7,6,2,6,7,1,7,1,1,6,5,3,5,6,7,3,6,5,4,6,7,3,7,1,With predictions better as it will learn over time,34.0322,-118.2836,-1
R_1kYSBKpKloE3Qn8,null,207.151.52.187,5/17/2022 13:06,5/17/2022 13:35,,,,,1,0,83438,82295,5,1,2,4,3,1,6,2,3,5,4,2,4,2,5,3,2,1,4,4,3,3,6,2,5,5,3,4,4,3,4,4,1,the second condition because i learned how the robot works and can anticipate its delays so that i was a little less frustrated,34.0322,-118.2836,-1
R_3z0piH6qrOXhhzr,null,207.151.52.187,5/26/2022 17:28,5/26/2022 17:46,,,,,1,0,96537,62401,6,1,6,7,3,5,4,4,6,7,7,4,7,5,7,7,4,1,6,7,2,6,3,5,7,7,7,2,7,6,7,7,6,"Condition II, because of suggestions. Some suggestions were helpful.",34.0322,-118.2836,-1
R_1FhQygxPEpnaAJo,null,207.151.52.187,5/29/2022 16:55,5/29/2022 17:30,,,,,1,0,56719,62179,7,1,7,7,5,3,4,5,7,7,7,1,7,7,4,7,4,1,6,7,6,3,5,2,5,6,6,4,7,7,5,7,6,"Condition II, suggestions to have an option. In some other cases, suggestions will help to remember",34.0322,-118.2836,-1
R_T1qTNFEpcLbFRjb,null,207.151.52.187,5/29/2022 19:40,5/29/2022 19:59,,,,,1,0,28007,96435,8,1,6,6,2,7,2,2,6,6,6,1,7,7,7,7,1,1,7,7,1,7,1,1,7,7,7,1,7,7,7,7,1,"Condition II definetly, less work.",34.0322,-118.2836,-1
R_2QSRTvAH6SZHGsw,null,207.151.52.187,5/29/2022 21:39,5/29/2022 22:01,,,,,1,0,36897,51938,9,1,6,6,3,4,5,3,6,6,3,4,6,5,4,5,1,1,5,6,3,5,5,3,4,4,3,5,5,5,2,6,1,"Condition I, suggestions were not helpful",34.0322,-118.2836,-1
R_3dRLil7bGt6I7z7,null,207.151.52.187,5/30/2022 15:57,5/30/2022 16:33,,,,,1,0,33578,29274,19,1,3,4,3,3,4,5,5,5,6,5,4,5,5,7,5,1,4,6,3,4,4,6,7,7,6,2,4,5,5,5,6,"No suggestions, as suggestions and all parts highlighted can be confusing.",34.0322,-118.2836,-1
R_cwMZe8l0PqzoHg5,null,207.151.52.187,5/30/2022 19:09,5/30/2022 19:27,,,,,1,0,66398,80202,20,1,6,5,5,5,5,3,5,5,5,3,5,5,5,5,5,1,6,5,6,5,7,4,5,5,4,3,6,6,4,6,3,Condition I with suggestions. If list of task is long I would need reminders. Reduce mental effort in remembering next task.,34.0322,-118.2836,-1
R_BF03OuUbMjpC9fX,null,207.151.52.187,5/31/2022 12:35,5/31/2022 12:54,,,,,1,0,88102,83594,22,1,6,6,3,3,6,2,6,6,6,4,7,7,2,7,2,1,6,6,3,3,6,2,5,6,3,4,7,7,1,7,2,"Condition I, not have to select parts for whatever actions the robot accurately predicts.",34.0322,-118.2836,-1
R_3oI7Z8e66Sj5F99,null,207.151.52.187,5/31/2022 19:01,5/31/2022 19:42,,,,,1,0,78079,90214,21,1,3,4,5,3,6,4,4,6,4,4,3,3,5,2,3,1,3,4,3,4,3,4,5,6,3,7,3,5,1,5,2,Condition I with suggestions. Suggestions helps you keep track of the next action.,34.0322,-118.2836,-1
R_2tx6btMJd6wLM1B,null,68.181.17.195,6/1/2022 12:43,6/1/2022 13:00,,,,,1,0,75446,59034,10,1,6,7,2,7,4,5,7,7,4,7,7,6,6,7,3,1,7,7,1,7,3,4,7,7,7,2,7,7,7,7,5,Condition II with suggestions. It will suggest the next part so less mental work and less actions for slecting the parts.,34.1027,-118.2231,-1
R_8k6ALb68ft4j0Qx,null,68.181.17.195,6/1/2022 15:13,6/1/2022 15:31,,,,,1,0,56978,61183,14,1,7,6,5,5,5,4,6,7,7,5,6,5,5,5,4,1,6,6,3,5,5,4,6,7,5,2,6,6,5,6,2,"With suggestions, to work without thinking.",34.1027,-118.2231,-1
R_3k7DZjw4gfmw9Uc,null,68.181.17.195,6/2/2022 19:10,6/2/2022 19:32,,,,,1,0,77371,97373,23,1,6,6,2,6,4,6,7,7,7,1,6,7,7,6,1,1,6,6,2,6,4,6,6,7,7,1,6,6,7,6,1,"Condition II, felt that I did faster on my own than in suggestions.",34.1027,-118.2231,-1
